first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,player_id
Angel,Gomes,0,0,2,25,1,2.3,5.2,18,0,4,2.6,0,0,0,0,50,568
James,Garner,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,45,602
Tahith,Chong,0,0,2,37,1,2.1,6.2,39,0,3,4.7,0,0,0,0,45,603
Mason,Greenwood,0,0,4,115,2,43.3,24,90,0,12,15.7,0,0,0,0.2,45,608
Robert,Elliot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,307
Karl,Darlow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,308
Martin,Dubravka,0,0,131,3420,48,0,783.6,0,10,647,78.4,11,0,1,1,50,309
DeAndre,Yedlin,1,2,63,2472,41,406.3,436.4,113,1,325,95.8,5,1,6,0.9,45,310
Ciaran,Clark,3,0,42,857,15,25,293.2,105,4,194,42.6,2,0,1,0.2,45,311
Jamaal,Lascelles,0,1,95,2745,36,46.8,632.4,113,8,539,79.6,10,0,4,3.1,47,312
Paul,Dummett,0,0,67,1986,27,94,424.2,58,3,365,57.6,7,0,1,0.2,44,313
Florian,Lejeune,0,0,35,1054,13,82.5,211.6,59,0,209,35.3,4,0,0,0.1,44,314
Javier,Manquillo,0,3,53,1098,16,127.3,231,28,5,231,38.8,4,0,2,0.3,43,315
Chancel,Mbemba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,316
Matt,Ritchie,2,8,110,2927,40,973.8,712.4,448,7,504,213.6,10,0,9,0.6,58,317
Jonjo,Shelvey,1,1,39,943,13,351.7,226.2,154,2,170,73.2,5,0,1,0.3,53,318
Mohamed,Diamé,0,0,56,2162,32,82.9,310.8,204,0,213,60,7,0,3,0.1,48,319
Christian,Atsu,1,1,55,1481,18,273,218.8,331,0,175,82.3,6,0,2,0.1,51,320
Jacob,Murphy,0,1,16,296,8,31.1,53.6,22,0,50,10.7,1,0,0,0,47,321
Mikel,Merino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,322
Isaac,Hayden,1,4,69,1857,25,298.8,412,232,5,306,94.4,7,1,3,1.4,43,323
