first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,player_id
Petr,Cech,0,0,24,585,9,0,205,0,3,130,20.4,1,0,0,1.1,47,1
Bernd,Leno,0,0,106,2835,42,0,807.2,0,5,568,80.5,6,0,0,4,49,2
Laurent,Koscielny,3,0,62,1329,23,29.5,456.4,105,8,319,59.1,3,0,1,0.9,54,3
Héctor,Bellerín,0,5,60,1532,21,197.8,261.6,280,5,304,73.7,4,0,3,4.5,53,4
Nacho,Monreal,1,4,77,1860,24,196.6,413.2,224,7,392,83.4,5,0,5,1.3,54,5
Rob,Holding,0,0,24,806,10,28.7,187.8,14,5,148,23.2,1,0,1,0.4,43,6
Shkodran,Mustafi,2,0,80,2611,40,106,718.6,252,5,475,107.8,6,0,9,1.3,54,7
Sead,Kolasinac,0,7,81,1886,29,445.9,323.2,242,10,382,101,5,0,5,5.4,49,8
Konstantinos,Mavropanos,0,0,3,147,1,14.1,27,10,0,28,5.2,0,0,1,0.1,47,10
Stephan,Lichtsteiner,0,0,14,935,18,61.1,113,23,0,89,20,0,0,3,0.8,45,11
Sokratis,Papastathopoulos,1,2,64,2198,33,67.9,513.8,120,4,402,70.4,5,0,12,1.2,51,12
Mesut,Özil,5,3,89,1732,24,714.2,429.6,254,9,363,140,5,0,2,2.6,79,13
Aaron,Ramsey,4,6,91,1319,13,387.2,418.4,502,4,298,131,9,0,0,0.9,71,14
Alex,Iwobi,3,8,99,1961,32,596.7,469,646,3,382,171.1,4,0,0,1.5,54,15
Mohamed,Elneny,0,0,10,377,5,76.7,86.6,63,0,59,22.7,0,0,0,2.2,42,16
Granit,Xhaka,4,3,90,2498,37,674,634.6,215,8,452,152.6,7,0,10,2.3,52,17
Henrikh,Mkhitaryan,6,4,98,1637,26,454.9,446.4,600,12,354,150.2,3,0,1,4.6,66,18
Reiss,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,44,19
Ainsley,Maitland-Niles,1,1,34,983,20,98.9,224.2,126,3,152,44.8,2,1,1,0.4,44,20
Danny,Welbeck,1,1,19,146,3,56.8,73.6,66,3,63,19.5,0,0,0,0.4,64,21
Alexandre,Lacazette,13,12,166,2497,31,482.4,808,1319,20,560,260.6,6,0,2,11.4,94,22
Pierre-Emerick,Aubameyang,22,7,205,2722,42,484.6,984.4,1429,32,756,289.6,7,0,0,18.8,108,23
Lucas,Torreira,2,4,78,2377,38,301,440.8,203,6,409,94.5,5,1,7,2.6,47,450
Matteo,Guendouzi,0,0,47,2140,32,312.4,323.2,130,0,321,76.6,3,0,9,1.6,44,451
Emiliano,Martínez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,40,542
Emile,Smith-Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,545
Zech,Medley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,546
Edward,Nketiah,1,0,10,63,3,14.7,40.8,59,1,36,11.4,0,0,0,0,50,552
Bukayo,Saka,0,0,1,7,0,0,0,0,0,3,0,0,0,0,0,45,563
Joseph,Willock,0,0,4,63,1,2.5,1,23,0,4,2.7,1,0,0,0,45,566
Carl,Jenkinson,0,0,4,165,3,16.9,26.8,8,0,16,5.2,0,0,0,0,45,581
Denis,Suárez,0,0,4,67,1,4.8,8.4,0,0,11,1.4,0,0,0,0.1,57,586
Asmir,Begovic,0,0,63,2160,47,0,440.6,0,4,363,44.2,5,0,0,2.7,43,24
Artur,Boruc,0,0,46,1080,18,0,302,0,4,218,30.3,4,0,2,8.6,41,25
Simon,Francis,0,2,40,1227,24,173.3,332.4,39,0,244,54.4,4,0,1,0.2,43,26
Steve,Cook,1,1,85,2786,56,143.3,731,292,6,549,116.5,9,0,3,4.2,43,27
Charlie,Daniels,1,0,44,1583,34,215.4,289.8,156,1,278,66.2,4,0,4,3.2,41,28
Adam,Smith,1,1,70,2067,33,199.8,374,110,1,383,68.5,8,1,5,0.4,43,29
Tyrone,Mings,0,0,5,141,4,16.3,49,2,0,41,6.8,0,0,0,0.1,42,30
Nathan,Aké,4,1,120,3411,70,125.9,1002,440,8,716,156.8,10,0,3,6.1,51,31
Jack,Simpson,0,0,10,401,9,2,85.4,21,0,73,11,1,0,0,6.1,39,32
Marc,Pugh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,43,34
Andrew,Surman,0,0,36,1438,37,163,190.8,38,0,206,39.2,4,0,2,0.1,46,35
Junior,Stanislas,2,3,56,1021,24,254.5,225.2,340,3,205,82,2,0,1,0.1,60,36
Dan,Gosling,2,2,54,1734,33,164.7,400.6,217,0,237,78.1,4,0,8,0.1,47,37
Jordon,Ibe,1,1,33,789,23,174.8,131.2,155,0,105,46,1,0,1,0.2,49,38
Lewis,Cook,0,0,22,719,10,50.4,76,36,0,91,16.5,3,0,2,0.1,46,39
Ryan,Fraser,7,14,181,3165,64,1382.4,930.6,696,23,751,301.2,9,0,2,23.7,64,40
Emerson,Hyndman,0,0,1,37,2,1.2,14,0,0,2,1.5,0,0,0,0,44,41
David,Brooks,7,6,123,2263,41,466.7,598,609,7,414,167.5,9,0,3,3.6,50,42
Callum,Wilson,14,12,168,2528,47,388.4,737.8,1137,22,525,225,9,0,3,20.3,69,43
Lys,Mousset,1,0,28,350,15,65.1,74.6,201,0,74,33.8,0,0,1,0.2,49,44
Joshua,King,12,3,141,2963,57,535.7,655.4,1058,20,457,223.8,10,0,3,5.1,64,45
Jermain,Defoe,0,0,4,22,2,0,3,23,0,12,2.6,0,0,0,0.4,56,46
Nathaniel,Clyne,0,1,34,1250,26,100.2,199.4,72,0,201,36.9,3,0,2,0.6,44,241
Dominic,Solanke,0,1,15,340,5,96,79,154,0,45,33,0,0,0,0.4,47,259
Diego,Rico,0,0,8,606,19,171.6,107.4,36,0,89,31.4,0,0,1,0,41,473
Jefferson,Lerma,2,2,75,2505,49,245.8,539.6,174,6,410,96.2,9,0,12,0.3,45,494
Chris,Mepham,0,1,27,848,17,24.1,177.2,22,0,158,22.5,2,0,1,0.1,45,580
Sam,Surridge,0,0,2,11,0,11.8,5,23,0,3,4,0,0,0,0.1,45,599
Kyle,Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,600
Nnamdi,Ofoborh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,613
Mark,Travers,0,0,9,180,5,0,68.2,0,1,46,6.8,1,0,0,0.3,40,616
Matt,Butcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,620
Mathew,Ryan,0,0,104,3060,55,0,707,0,11,547,70.9,6,0,2,4.9,44,47
Lewis,Dunk,2,1,91,3151,56,132.9,805.8,245,6,573,118.7,7,1,5,3.4,44,48
Shane,Duffy,5,2,115,3087,55,84.1,1024.4,499,9,582,160.9,7,1,4,8.1,47,49
Bruno,Saltor Grau,0,1,46,1131,17,102,181.6,14,7,229,29.8,4,0,2,0.3,44,50
Gaëtan,Bong,0,0,48,1805,34,153.3,220,8,0,254,38,5,0,0,0.1,44,51
Markus,Suttner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,38,52
Ezequiel,Schelotto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,38,53
Leon,Balogun,1,0,15,591,10,1.1,134,27,0,86,16.2,0,0,2,0.1,42,54
Anthony,Knockaert,2,6,74,1828,41,580.8,389.6,345,2,293,131.4,3,1,4,0.5,52,55
Dale,Stephens,1,1,65,2484,46,249.3,498.2,88,4,404,83.6,5,1,6,3,43,56
Beram,Kayal,1,1,36,935,17,59.3,224,53,0,136,33.6,4,0,4,0.3,44,57
Solomon,March,1,6,94,2459,40,684.5,474.6,405,5,342,156.6,6,0,1,0.7,47,58
Pascal,Groß,3,3,80,1864,31,815.3,456,344,12,347,161.7,3,0,1,1.5,67,59
Davy,Pröpper,1,1,72,2546,45,279.1,389.2,121,3,351,79.2,4,0,2,0.2,48,60
José Heriberto,Izquierdo Mena,0,2,31,789,10,77.3,75.4,147,0,95,30,3,0,1,0.1,59,61
Glenn,Murray,13,1,129,2501,45,190,478,835,16,337,148.1,4,0,5,2.8,61,62
Tomer,Hemed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,49,63
Sam,Baldock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,45,64
Jürgen,Locadia,2,0,52,1225,21,190.8,154.4,356,6,155,69.7,3,0,1,0.3,53,65
Florin,Andone,3,0,38,866,14,48.6,147.2,361,2,74,54.9,2,0,5,0.2,50,66
David,Button,0,0,15,360,5,0,89.2,0,2,76,8.9,1,0,0,2.3,40,179
Jason,Steele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,39,439
Bernardo,Fernandes da Silva Junior,0,1,39,1749,29,172.6,444.2,83,0,290,70,2,0,4,0.1,42,440
Yves,Bissouma,0,0,43,1764,32,213,253.4,201,0,170,66.8,3,0,5,0,46,466
Alireza,Jahanbakhsh,0,0,33,1014,16,104,94.4,162,0,61,35.5,5,0,2,0.6,67,476
Martín,Montoya,0,1,45,2166,41,289.2,437.6,58,1,351,78.6,3,0,4,0.2,43,503
Viktor,Gyokeres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,551
Ben,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,559
Max,Sanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,572
Dan,Burn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,582
Jayson,Molumby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,617
Tom,Heaton,0,0,58,1710,27,20.1,442.8,4,4,323,46.6,4,0,3,0.5,48,67
Nick,Pope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,48,68
Matthew,Lowton,0,0,34,1748,41,158.6,338,48,1,269,54.6,4,0,7,0.2,46,69
Ben,Mee,0,2,81,3420,68,113.8,885.4,238,5,572,123.9,8,0,9,1.6,46,70
Stephen,Ward,0,0,7,228,6,17.2,48.4,19,0,44,8.5,1,0,1,0.5,47,71
James,Tarkowski,3,2,97,3086,63,69.8,1023.2,450,7,524,154.5,7,0,8,4.2,47,72
Kevin,Long,0,1,16,513,9,11.6,147.8,8,0,101,16.8,1,0,0,0.3,41,73
Charlie,Taylor,0,1,82,3240,64,268.5,649.4,30,2,505,94.9,7,0,2,0.5,44,74
Phil,Bardsley,0,0,33,1670,27,139.6,267.8,66,0,224,47.4,4,0,9,0.1,42,75
Johann Berg,Gudmundsson,3,7,92,1743,39,574.1,456.2,380,6,339,141.1,5,0,2,1,55,76
Steven,Defour,0,0,10,449,14,36.6,61.4,0,0,70,9.9,0,0,0,0,53,77
Jeff,Hendrick,2,2,73,2058,44,205.3,233.8,269,3,243,70.6,4,0,4,0.2,52,78
Robbie,Brady,0,1,20,714,17,194.1,102,85,0,77,38.2,1,1,3,0,54,79
Ashley,Westwood,2,8,111,2821,55,643.1,623,253,10,518,152.3,7,0,5,3.1,46,80
Jonathan,Walters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,81
Jack,Cork,1,2,87,3312,63,309.7,491.4,240,0,446,104.3,8,0,6,0.5,46,82
Aaron,Lennon,1,1,41,1214,22,121.2,151.6,108,2,133,38,3,0,1,0.3,49,83
Sam,Vokes,3,0,48,907,20,108.6,152,292,7,130,54.3,2,0,0,0.6,53,84
Ashley,Barnes,12,3,122,2378,41,309.9,581.2,1042,13,394,192.9,7,0,8,2.1,56,85
Nahki,Wells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,45,86
Chris,Wood,10,3,131,2580,49,310.3,475.8,911,17,379,167.9,7,0,2,1.4,63,87
Anders,Lindegaard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,485
Joe,Hart,0,0,69,1710,41,10.1,594.6,0,7,378,60.3,4,0,0,4.4,42,490
Ben,Gibson,1,0,6,62,3,0.4,42.4,33,0,17,7.6,0,0,1,0.1,48,491
Matej,Vydra,1,1,21,310,7,33.7,70.4,114,0,61,21.4,0,0,1,0,56,495
Dwight,McNeil,3,4,75,1590,25,442.8,405.2,279,6,305,112.5,5,0,2,0.8,44,534
Abd-Al-Ali Morakinyo Olaposi,Koiki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,564
Josh,Benson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,583
Peter,Crouch,0,1,8,86,3,1.6,7.6,115,0,24,12.3,0,0,1,0.9,44,590
Anthony,Driscoll-Glennon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,615
Harry,Arter,0,1,48,1999,39,188.8,230.6,170,0,225,58.9,7,0,10,0.2,49,33
Neil,Etheridge,0,0,154,3420,69,21,1116.8,0,18,775,113.6,10,0,2,10.2,46,88
Alex,Smithies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,42,89
Sean,Morrison,1,4,97,3039,63,239,673.4,580,5,477,149.4,9,0,6,0.4,47,90
Sol,Bamba,4,1,95,2475,52,51.4,787,304,11,459,114.2,7,0,7,1.5,44,91
Bruno,Ecuele Manga,0,1,97,3375,67,105.5,722,172,4,581,100.4,10,0,0,0.4,44,92
Matthew,Connolly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,38,93
Joe,Bennett,0,1,77,2639,50,237.1,442.8,98,4,433,77.8,9,0,5,0.4,44,94
Lee,Peltier,0,0,43,1542,26,49.5,267.2,15,1,232,33.1,5,0,4,4,39,95
Ashley Darel Jazz,Richards,0,0,2,129,4,1.6,14.8,0,0,15,1.8,0,0,0,0.5,39,96
Greg,Halford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,97
Joe,Ralls,0,0,45,1954,40,481.1,284.6,204,0,232,96.7,5,1,4,0.1,46,98
David Junior,Hoilett,3,2,82,2134,46,383.4,313.2,463,4,230,115.3,6,0,4,0.1,50,99
Nathaniel,Mendez-Laing,4,1,63,978,18,255,351.4,370,6,253,97.8,4,0,0,0,48,100
Callum,Paterson,4,2,80,1993,41,311.9,266.8,541,4,227,111.7,5,0,4,0.3,48,101
Aron,Gunnarsson,1,1,65,2266,40,217.5,370.6,201,3,290,78.9,6,0,5,0.6,44,102
Anthony,Pilkington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,103
Loïc,Damour,0,0,2,21,2,1,0.6,8,0,6,0.9,0,0,0,0.1,43,104
Danny,Ward,1,0,22,435,14,83.3,81.8,168,0,67,32.9,0,0,0,0.2,43,105
Josh,Murphy,3,2,76,1810,32,267,285.6,550,3,191,109.5,7,0,2,0.2,48,106
Kenneth,Zohore,1,1,33,741,19,159.5,103.6,270,2,93,53.3,2,0,1,0.5,46,107
Omar,Bogle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,108
Gary,Madine,0,0,5,32,3,1.5,2,8,0,13,1,0,0,0,0.9,44,109
Bobby,Reid,5,3,80,1413,30,224.4,296.6,392,9,276,91,4,0,0,0.9,52,110
Oumar,Niasse,0,0,30,988,13,85.7,70.8,317,0,29,47.1,5,0,0,0.4,50,176
Greg,Cunninghamm,0,0,9,630,17,69.7,106.4,19,0,72,19.6,1,0,3,0,41,467
Víctor,Camarasa,5,4,106,2569,53,798.4,515.8,387,5,398,170.2,9,0,6,2.2,44,504
Kadeem,Harris,1,1,24,365,6,87.7,90.4,89,0,80,26.7,1,0,1,0,45,535
Brian,Murphy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,40,537
Rhys,Healey,0,0,3,49,1,10.9,4.2,12,0,7,2.7,0,0,0,0.1,45,573
Leandro,Bacuna,0,1,17,554,14,30.2,69,22,0,81,12,1,0,2,0,43,589
Thibaut,Courtois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,55,111
Willy,Caballero,0,0,13,180,0,1,24.6,0,0,45,2.6,2,0,0,0.1,47,112
César,Azpilicueta,1,6,158,3402,39,525.1,815,286,11,822,163.2,16,0,4,9.6,64,113
Gary,Cahill,0,0,2,22,0,0,4.8,0,0,6,0.5,0,0,0,0.5,50,114
Marcos,Alonso,2,8,161,2759,28,520.1,619,475,21,702,161.7,14,0,6,22.1,62,115
David,Luiz Moreira Marinho,3,2,164,3238,36,358.7,859,363,19,794,158,16,0,3,11.7,58,116
Victor,Moses,0,0,2,26,1,12.7,1.2,6,0,3,2,0,0,0,1.2,55,117
Antonio,Rüdiger,1,2,116,2871,35,143.6,566.8,273,9,609,98.5,12,0,7,2.9,59,118
Andreas,Christensen,0,0,22,615,7,8.4,120.6,6,0,133,13.6,3,0,1,0.4,50,119
Davide,Zappacosta,0,0,9,125,0,14.7,17.4,29,0,30,6.1,1,0,0,0.1,50,120
Emerson,Palmieri dos Santos,0,0,22,660,11,113.8,104.6,81,1,130,30,2,0,0,0.2,52,121
Eden,Hazard,16,15,238,2918,35,1471.2,1306.2,1546,35,879,432.7,12,0,2,27.2,110,122
Cesc,Fàbregas,0,0,6,175,2,58.5,37,14,0,36,10.9,0,0,1,0.3,62,123
Willian,Borges Da Silva,3,7,108,2091,25,1165.5,557.6,742,6,475,246.7,11,0,2,3.8,71,124
Pedro,Rodríguez Ledesma,8,2,112,1768,19,503.5,530.2,733,12,440,176.5,7,0,2,3.3,62,125
N'Golo,Kanté,4,4,116,3092,38,766.3,683.6,412,3,563,186.4,14,0,3,15.8,49,126
Ross,Barkley,3,5,79,1231,13,349,324,429,5,300,110,7,0,1,1.3,50,127
Daniel,Drinkwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,46,128
Tiemoué,Bakayoko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,49,129
Ethan,Ampadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,130
Callum,Hudson-Odoi,0,1,18,388,5,143.2,89.2,133,1,83,36.2,2,0,0,2.2,42,131
Ruben,Loftus-Cheek,6,2,79,980,9,254.9,391.6,346,6,292,99.4,5,0,0,0.8,52,132
Olivier,Giroud,2,4,55,828,5,253.6,183.2,519,2,169,94.5,6,0,1,1.9,77,133
Álvaro,Morata,5,0,46,936,11,130.2,219.8,523,3,119,86.3,6,0,3,1.3,84,134
Jorge Luiz,Frello Filho,2,0,96,3156,37,628.4,691.4,122,4,577,144.2,16,0,8,5.8,46,459
Tammy,Abraham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,54,496
Kepa,Arrizabalaga,0,0,142,3240,39,0.1,681,0,7,685,68,14,0,2,4.9,54,498
Mateo,Kovacic,0,2,64,1725,19,468.8,315.4,311,2,343,109.9,9,0,3,0.7,57,499
Gonzalo,Higuaín,5,0,53,1084,15,241.7,240.4,644,6,178,112,5,0,0,1.5,90,579
Addji Keaninkin Marc-Israel,Guehi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,624
Wayne,Hennessey,0,0,67,1575,26,0,358.8,0,6,311,35.9,5,0,0,2.4,44,135
Julian,Speroni,0,0,1,90,4,0,31.4,0,0,16,3.1,0,0,0,10.1,39,136
Vicente,Guaita,0,0,81,1754,23,0,448,0,8,378,44.8,7,0,2,2.4,43,137
James,Tomkins,1,1,86,2561,37,83,560.8,276,0,504,92.3,10,0,6,2.3,43,138
Scott,Dann,0,1,23,661,10,22.5,186.2,71,0,129,28.1,2,0,1,0.1,44,139
Martin,Kelly,0,0,26,1110,21,17.1,269.8,34,1,166,32.2,3,0,2,5,39,140
Jeffrey,Schlupp,4,3,91,1660,26,240.5,385.2,430,3,301,105.7,4,0,1,2.5,43,141
Patrick,van Aanholt,3,2,140,3196,46,520.4,616,448,17,626,158.7,12,0,3,5.7,55,142
Mamadou,Sakho,0,0,88,2416,35,78.2,540.6,47,13,533,66.6,9,0,2,1.2,49,143
Jairo,Riedewald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,144
Aaron,Wan-Bissaka,0,3,120,3134,47,266.8,863.4,139,18,672,127.1,12,1,4,26.3,46,145
James,McArthur,3,7,121,3057,49,457.2,666.8,487,7,500,161.3,11,0,7,3.4,49,147
Bakary,Sako,0,0,4,26,2,0.5,3,0,0,10,0.3,0,0,0,0,49,148
Andros,Townsend,6,5,135,3007,46,928.5,743,622,8,520,229.6,11,0,1,3.5,56,149
Luka,Milivojevic,12,2,166,3420,53,910.1,1078.2,473,24,741,246.3,12,0,10,10.6,65,150
Wilfried,Zaha,10,11,143,3037,49,753.3,752.8,1200,13,459,270.6,11,1,8,15.6,70,151
Christian,Benteke,1,1,33,807,13,118.4,106,348,3,65,56.1,3,0,1,0.5,63,152
Alexander,Sørloth,0,0,12,173,3,38.3,19.2,59,0,32,11.3,0,0,0,0.1,48,153
Cheikhou,Kouyaté,0,3,67,1889,30,198.5,337.4,222,0,251,75.6,9,0,3,0.2,47,412
Joel,Ward,1,0,13,551,14,28.9,131.8,43,0,68,20.5,0,0,1,0.2,43,441
Jaroslaw,Jach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,442
Pape,Souaré,0,0,1,1,0,0.1,1,0,0,3,0.1,0,0,0,0.1,42,443
Connor,Wickham,0,1,9,61,1,41.9,23.2,55,0,23,12,0,0,0,0.1,49,444
Sullay,Kaikai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,477
Max,Meyer,1,3,60,1405,24,309.9,236,433,0,223,98,6,0,3,0.2,55,486
Jordan,Ayew,1,3,46,1176,13,207.3,140.2,421,2,114,76.7,5,0,3,0.2,57,505
Joe,Tupper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,576
Lucas,Perri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,584
Michy,Batshuayi,5,1,48,748,11,41.4,198.6,406,5,159,64.2,3,0,0,0.8,62,592
Sam,Woods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,609
Luke,Dreher,0,0,1,1,0,0.6,0.2,0,0,3,0.1,0,0,0,0,45,618
Nikola,Tavares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,619
Jordan,Pickford,0,0,161,3420,46,10,776.4,0,13,706,78.5,14,0,1,13.3,49,154
Maarten,Stekelenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,39,155
Leighton,Baines,0,0,7,374,6,91.4,48.4,15,0,48,15.4,0,0,0,0.5,50,156
Seamus,Coleman,2,2,125,2558,30,387.3,515.2,274,12,548,117.6,13,0,1,1.6,52,157
Phil,Jagielka,1,0,22,329,4,21.4,82.2,43,3,80,14.6,2,1,0,0.6,43,158
Ashley,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,159
Mason,Holgate,0,0,5,407,9,5,92.2,2,0,61,9.9,0,0,1,0.1,43,160
Jonjoe,Kenny,0,1,19,789,15,102.7,166.2,12,0,134,28,1,0,1,0.2,41,161
Michael,Keane,1,2,129,2970,39,101.2,740.2,326,15,642,117.2,13,0,2,4.3,48,162
Cuco,Martina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,163
Theo,Walcott,5,3,101,2108,33,342.9,420,699,4,292,145.7,6,0,1,2.5,59,164
Yannick,Bolasie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,58,165
James,McCarthy,0,0,1,14,0,0.1,5.2,0,0,3,0.5,0,0,0,0,44,166
Morgan,Schneiderlin,0,1,28,832,9,124.7,151.6,17,0,152,29.4,5,0,2,1.8,42,167
Idrissa,Gueye,0,2,78,2821,31,311.3,629.2,168,0,472,111.1,13,0,6,0.3,47,168
Tom,Davies,0,0,26,975,19,96.2,122.6,103,0,127,32.1,2,0,3,0.1,50,169
Ademola,Lookman,0,3,34,600,8,172.1,131.4,211,0,110,51.6,1,0,0,0.1,49,170
Davy,Klaassen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,171
Gylfi,Sigurdsson,13,6,182,3122,41,1098.5,959.8,1084,20,662,314.2,15,0,3,8.3,74,172
Nikola,Vlasic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,173
Beni,Baningime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,174
Dominic,Calvert-Lewin,6,5,92,1769,26,185.7,321.8,618,3,267,111.5,8,0,3,1.9,54,175
Cenk,Tosun,3,3,56,1044,17,172.2,212.6,546,3,166,92.8,1,0,3,1.5,64,177
Richarlison,de Andrade,13,3,153,2662,36,350.7,698.4,1209,12,400,224.5,11,1,5,13.3,64,393
Kevin,Mirallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,469
Sandro,Ramírez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,54,470
Lucas,Digne,4,5,158,2964,38,1142,883,300,22,736,232.7,13,1,5,10.2,54,484
Yerry,Mina,1,0,36,891,13,37.5,198.2,61,2,176,29.6,3,0,3,0.5,54,506
Bernard,Anício Caldeira Duarte,1,4,88,2108,19,589.6,366,377,5,319,133.3,13,0,5,0.3,59,507
André Filipe,Tavares Gomes,1,2,64,1977,28,154.6,268.4,207,2,268,63.1,9,0,7,0.2,54,508
Kurt,Zouma,2,2,112,2613,39,83.7,565.2,235,12,543,88.8,10,1,3,1,50,526
Kieran,Dowell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,528
Tyias,Browning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,532
Calum,Chambers,2,0,60,2586,52,231.9,609,401,0,431,124.5,5,0,9,1.1,42,9
Marcus,Bettinelli,0,0,15,630,20,0,195,0,0,114,19.4,0,0,1,0.3,42,178
Tim,Ream,0,0,50,2046,49,46.3,331.6,3,4,349,38.3,5,0,1,0.3,42,180
Denis,Odoi,0,1,44,2593,62,164.2,575.2,93,2,427,83.5,3,0,4,0.1,44,181
Tom,Cairney,1,1,71,2188,51,586.7,358,199,3,389,114.5,5,0,0,0.5,46,182
Kevin,McDonald,0,0,17,837,27,71.9,99.6,15,0,123,18.7,0,1,4,0.2,42,183
Ryan,Sessegnon,2,7,94,2291,60,468.3,410.4,438,3,295,132,3,0,0,1.9,60,184
Stefan,Johansen,0,0,11,409,12,33,48.8,7,0,48,9,0,0,4,0,50,185
Floyd,Ayité,1,0,24,466,13,117.5,90,74,0,91,28,0,0,0,0.1,42,186
Neeskens,Kebano,0,0,7,101,3,8.3,17.6,8,0,24,3.4,0,0,0,0,43,187
Rui Pedro,da Rocha Fonte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,188
Aboubakar,Kamara,3,0,28,688,17,149.5,150,244,2,82,53.1,1,0,2,5.1,45,189
Maxime,Le Marchand,0,1,38,2250,53,131.7,577.8,99,1,409,81.2,3,0,5,0.2,42,455
Jean Michael,Seri,1,3,72,2239,54,849.4,460.2,164,6,422,147.5,3,0,6,1.3,49,456
Cyrus,Christie,0,1,42,1941,42,293.1,423.2,107,2,278,82.2,3,0,7,0.2,42,460
Fabricio,Agosto Ramírez,0,0,8,180,5,0,115.2,0,2,47,11.5,0,0,0,0.2,42,474
André,Schürrle,6,0,75,1638,43,310.6,361.8,474,2,260,114,2,0,2,2.1,55,478
Aleksandar,Mitrovic,11,4,134,3280,78,499.5,638.8,1593,12,350,273.4,5,0,7,10.8,63,480
Alfie,Mawson,0,0,19,1130,26,23.2,259.2,31,2,174,31.3,1,0,2,0.1,47,487
Sergio,Rico,0,0,86,2610,56,20.3,851.4,0,8,519,87.1,5,0,1,0.7,44,509
Joe,Bryan,0,1,52,2344,54,385.4,469.2,226,4,397,108.1,5,0,5,0.2,48,510
Timothy,Fosu-Mensah,0,0,14,791,18,100.3,136.4,28,1,119,26.4,1,0,3,0.3,45,511
André-Frank,Zambo Anguissa,0,0,37,1512,33,137,315.8,163,0,235,61.4,3,1,1,0.1,44,512
